sn,D1,D2,D3,D4,D5,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5,RE1,RE2,RE3,RE4,RE5
58,NS,A,A,A,A,A,A,NS,A,A,NS,A,A,SA,SA,A,A,A,A,A
59,A,A,SA,SA,A,A,SA,A,SA,SA,A,A,A,A,A,SA,SA,SA,SA,A
60,A,NS,NS,A,A,NS,A,A,SA,SA,NS,A,A,A,A,A,NS,A,A,NS
61,SA,A,NS,SA,NS,A,A,NS,SA,SA,A,NS,NS,SA,SA,NS,NS,NS,NS,SA
62,A,SA,A,SA,A,A,SA,A,SA,SA,NS,A,A,A,A,A,A,A,A,A
63,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
64,SA,SA,NS,SA,A,SA,SA,NS,SA,SA,NS,SA,NS,,A,SA,SA,SA,NS,SA
65,A,A,SD,A,A,A,SA,SA,SA,A,A,A,A,A,A,A,A,A,A,SA
66,A,SA,D,SA,SA,SD,D,SD,SA,SA,A,A,SA,A,SA,NS,NS,NS,A,A
67,D,A,NS,SA,A,A,A,NS,SA,SA,A,NS,NS,D,SA,A,NS,NS,A,SA
68,SA,A,NS,SA,A,D,A,NS,SA,SA,NS,A,NS,NS,A,A,SA,NS,NS,SD
69,D,A,A,A,A,A,A,D,SA,SA,A,A,NS,A,A,A,A,A,A,A
70,NS,A,NS,A,NS,NS,A,NS,A,A,A,A,A,A,A,A,SA,A,SA,SA
71,A,NS,D,SD,A,SA,SA,D,SA,SA,SA,A,SA,NS,SA,SA,SA,SA,SA,SA
72,A,NS,A,SA,A,A,SA,A,SA,SA,A,A,NS,NS,D,A,A,A,NS,A
73,SA,A,NS,SA,A,SA,D,NS,SA,SA,A,SA,SA,A,D,A,A,NS,SA,A
74,A,A,A,A,A,NS,A,NS,A,A,A,NS,A,A,A,A,A,A,A,A
75,SA,SA,NS,A,A,A,A,A,SA,SA,SA,A,A,A,A,A,A,A,A,A
76,A,SA,NS,A,NS,SA,A,NS,SA,SA,A,NS,A,A,SA,A,A,A,A,A
77,A,NS,NS,NS,NS,NS,NS,NS,A,A,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
78,A,SA,A,NS,A,A,NS,NS,NS,NS,A,NS,A,A,A,A,A,A,A,A
79,A,NS,A,SA,A,A,A,D,SA,SA,NS,NS,NS,NS,SA,A,A,A,A,SA
80,A,SA,A,SA,A,SA,SA,D,SA,SA,A,SA,A,SA,SA,SA,SA,A,SA,SA
81,A,A,D,D,A,A,A,D,SA,SA,SA,A,A,SA,A,SA,SA,SA,SA,SA
82,A,SA,D,SA,A,A,A,D,SA,SA,A,A,A,A,A,A,A,A,A,SA
83,D,SA,SA,SA,D,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,SA,SA,A,A,SA
84,D,SA,A,SA,A,SA,SA,SA,SA,SA,D,SA,SA,SA,SA,A,A,A,SA,SA
85,A,A,SA,SA,A,A,SA,A,SA,SA,A,SA,A,SA,SA,SA,SA,A,A,SA
86,A,SA,SA,SA,A,A,SA,A,SA,SA,A,A,SA ,SA,SA,A,SA,A,A,SA
87,D,D,A,A,D,D,A,A,A,A,A,A,SA,A,A,A,A,SA,SA,A
88,D,A,D,SA,A,SA,A,D,SA,SA,A,A,A,A,SA,A,A,A,A,A
89,A,A,D,SA,SA,SA,A,A,SA,SA,SA,SA,SA,SA,SA,A,A,SA,A,A
90,A,A,A,A,SA,A,A,D,A,A,A,A,A,A,A,A,SA,SA,SA,A
91,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,A,A,SA,SA,SA,A,SA,SA
92,SA,D,D,SD,SA,A,SA,SA,A,SA,A,SA,A,SA,SA,SA,A,A,A,SA
93,SA,A,SA,A,SA,A,SA,SA,SA,SA,A,A,SA,SA,SA,SA,A,A,SA,SA
94,A,A,D,A,D,A,SA,SA,A,A,A,A,SA,A,SA,SA,SA,A,A,A
95,SA,A,SA,A,D,D,SA,SA,SA,SA,D,A,A,SA,SA,SA,SA,A,SA,SA
96,A,D,A,A,A,A,A,A,SA,SA,D,A,A,SA,SA,A,A,SA,SA,A
97,SA,A,SD,A,A,SA,A,A,SA,SA,SA,SA,A,A,SA,A,A,SA,SA,SA
98,SA,A,SD,D,A,SA,A,D,SA,SA,SA,SA,A,A,SA,A,A,SA,A,SA
99,SA,SA,SA,D,D,SA,SA,SA,SA,SA,A,A,A,SA,SA,A,A,SA,SA,SA
100,SA,NS,NS,SA,NS,NS,A,NS,SA,SA,NS,NS,NS,NS,SA,NS,NS,NS,A,A
101,A,A,A,A,NS,A,A,D,A,A,A,A,A,A,A,A,SA,SA,SA,A
102,SA,SA,A,SA,NS,SA,SA,NS,SA,SA,NS,NS,A,A,SA,SA,SA,A,NS,SA
103,SA,NS,D,SD,NS,NS,A,NS,A,SA,NS,NS,A,SA,SA,SA,NS,A,A,SA
104,A,SA,A,SA,A,SA,SA,D,SA,SA,A,SA,A,SA,SA,SA,SA,A,SA,SA
105,A,A,D,D,A,A,A,D,SA,SA,SA,A,A,SA,A,SA,SA,SA,SA,SA
106,A,SA,D,SA,A,A,A,D,SA,SA,A,A,A,A,A,A,A,A,A,SA
107,D,SA,SA,SA,D,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,SA,SA,A,A,SA
108,D,SA,A,SA,A,SA,SA,SA,SA,SA,D,SA,SA,SA,SA,A,A,A,SA,SA
109,A,A,SA,SA,A,A,SA,A,SA,SA,A,SA,A,SA,SA,SA,SA,A,A,SA
110,A,SA,SA,SA,A,A,SA,A,SA,SA,A,A,SA ,SA,SA,A,SA,A,A,SA
111,D,D,A,A,D,D,A,A,A,A,A,A,SA,A,A,A,A,SA,SA,A
112,D,A,D,SA,A,SA,A,D,SA,SA,A,A,A,A,SA,A,A,A,A,A
113,A,A,D,SA,SA,SA,A,A,SA,SA,SA,SA,SA,SA,SA,A,A,SA,A,A
114,A,A,A,A,SA,A,A,D,A,A,A,A,A,A,A,A,SA,SA,SA,A
115,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,A,A,SA,SA,SA,A,SA,SA
116,SA,D,D,SD,SA,A,SA,SA,A,SA,A,SA,A,SA,SA,SA,A,A,A,SA
117,SA,A,SA,A,SA,A,SA,SA,SA,SA,A,A,SA,SA,SA,SA,A,A,SA,SA
118,A,A,D,A,D,A,SA,SA,A,A,A,A,SA,A,SA,SA,SA,A,A,A
119,SA,A,SA,A,D,D,SA,SA,SA,SA,D,A,A,SA,SA,SA,SA,A,SA,SA
120,A,D,A,A,A,A,A,A,SA,SA,D,A,A,SA,SA,A,A,SA,SA,A
121,SA,A,SD,A,A,SA,A,A,SA,SA,SA,SA,A,A,SA,A,A,SA,SA,SA
122,SA,A,SD,D,A,SA,A,D,SA,SA,SA,SA,A,A,SA,A,A,SA,A,SA
123,SA,SA,SA,D,D,SA,SA,SA,SA,SA,A,A,A,SA,SA,A,A,SA,SA,SA
124,A,SA,A,SA,A,SA,SA,D,SA,SA,A,SA,A,SA,SA,SA,SA,A,SA,SA
125,A,A,D,D,A,A,A,D,SA,SA,SA,A,A,SA,A,SA,SA,SA,SA,SA
126,A,SA,D,SA,A,A,A,D,SA,SA,A,A,A,A,A,A,A,A,A,SA
127,D,SA,SA,SA,D,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,SA,SA,A,A,SA
128,D,SA,A,SA,A,SA,SA,SA,SA,SA,D,SA,SA,SA,SA,A,A,A,SA,SA
129,A,A,SA,SA,A,A,SA,A,SA,SA,A,SA,A,SA,SA,SA,SA,A,A,SA
130,A,SA,SA,SA,A,A,SA,A,SA,SA,A,A,SA ,SA,SA,A,SA,A,A,SA
131,D,D,A,A,D,D,A,A,A,A,A,A,SA,A,A,A,A,SA,SA,A
132,D,A,D,SA,A,SA,A,D,SA,SA,A,A,A,A,SA,A,A,A,A,A
133,A,A,D,SA,SA,SA,A,A,SA,SA,SA,SA,SA,SA,SA,A,A,SA,A,A
134,A,A,A,A,SA,A,A,D,A,A,A,A,A,A,A,A,SA,SA,SA,A
135,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,A,A,SA,SA,SA,A,SA,SA
136,SA,D,D,SD,SA,A,SA,SA,A,SA,A,SA,A,SA,SA,SA,A,A,A,SA
137,SA,A,SA,A,SA,A,SA,SA,SA,SA,A,A,SA,SA,SA,SA,A,A,SA,SA
138,A,A,D,A,D,A,SA,SA,A,A,A,A,SA,A,SA,SA,SA,A,A,A
139,SA,A,SA,A,D,D,SA,SA,SA,SA,D,A,A,SA,SA,SA,SA,A,SA,SA
140,A,D,A,A,A,A,A,A,SA,SA,D,A,A,SA,SA,A,A,SA,SA,A
141,A,SA,A,SA,A,SA,SA,D,SA,SA,A,SA,A,SA,SA,SA,SA,A,SA,SA
142,A,A,D,D,A,A,A,D,SA,SA,SA,A,A,SA,A,SA,SA,SA,SA,SA
143,A,SA,D,SA,A,A,A,D,SA,SA,A,A,A,A,A,A,A,A,A,SA
144,D,SA,SA,SA,D,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,SA,SA,A,A,SA
145,D,SA,A,SA,A,SA,SA,SA,SA,SA,D,SA,SA,SA,SA,A,A,A,SA,SA
146,A,A,SA,SA,A,A,SA,A,SA,SA,A,SA,A,SA,SA,SA,SA,A,A,SA
147,A,SA,SA,SA,A,A,SA,A,SA,SA,A,A,SA ,SA,SA,A,SA,A,A,SA
148,D,D,A,A,D,D,A,A,A,A,A,A,SA,A,A,A,A,SA,SA,A
149,D,A,D,SA,A,SA,A,D,SA,SA,A,A,A,A,SA,A,A,A,A,A
150,A,A,D,SA,SA,SA,A,A,SA,SA,SA,SA,SA,SA,SA,A,A,SA,A,A
151,A,A,A,A,SA,A,A,D,A,A,A,A,A,A,A,A,SA,SA,SA,A
152,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,A,A,SA,SA,SA,A,SA,SA
153,SA,D,D,SD,SA,A,SA,SA,A,SA,A,SA,A,SA,SA,SA,A,A,A,SA
154,SA,A,SA,A,SA,A,SA,SA,SA,SA,A,A,SA,SA,SA,SA,A,A,SA,SA
155,A,A,D,A,D,A,SA,SA,A,A,A,A,SA,A,SA,SA,SA,A,A,A
156,SA,A,SA,A,D,D,SA,SA,SA,SA,D,A,A,SA,SA,SA,SA,A,SA,SA
157,A,D,A,A,A,A,A,A,SA,SA,D,A,A,SA,SA,A,A,SA,SA,A
158,SA,A,SD,A,A,SA,A,A,SA,SA,SA,SA,A,A,SA,A,A,SA,SA,SA
